Stock Name,Ticker,Price,todayHigh,52WeekHigh,Volume,ROC_Today,"ROC (5m, 12p)",Diff of ROC,actual_high,is_high,gain,date
Jindal Drilling And Industries Limited,JINDRILL,585.2,596.4500122070312,759.9,2774082,8.85,7.66,1.19,602.7000122070312,,17.5,2026-05-12
Satin Creditcare Network Limited,SATIN,233.77,245.5399932861328,245.54,11023826,-3.46,-2.33,-1.13,245.5399932861328,,11.77,2026-05-12
Stove Kraft Ltd,STOVEKRAFT,594.25,598.9000244140625,813.95,842938,5.74,2.77,2.97,598.9000244140625,,4.65,2026-05-12
Sasken Communication Technologies Limited,SASKEN,1727.1,1775.400024414062,1775.4,1096338,2.6,2.87,-0.27,1959.0,,231.9,2026-05-12
Nrb Bearing Limited,NRBBEARING,345.05,346.0,350.0,856013,4.56,2.59,1.97,346.0,,0.95,2026-05-12
Sterlite Technologies Limited,STLTECH,414.4,414.3999938964844,414.4,8295226,7.01,1.58,5.43,414.3999938964844,,-0.0,2026-05-12
Arvind Limited,ARVIND,455.7,457.0,459.65,501438,1.89,3.1,-1.21,459.45001220703125,,3.75,2026-05-12
Bliss Gvs Pharma Limited,BLISSGVS,280.15,284.5,284.5,2303659,0.92,1.43,-0.51,284.5,,4.35,2026-05-12
HFCL Ltd,HFCL,151.76,153.3999938964844,153.4,45649145,0.91,3.24,-2.33,153.5500030517578,,1.79,2026-05-12
R R Kabel Ltd,RRKABEL,1961.0,1975.900024414062,1984.0,261748,1.23,2.61,-1.38,1996.9000244140625,,35.9,2026-05-12
Graphite India Limited,GRAPHITE,743.0,747.3499755859375,764.7,521408,0.99,1.61,-0.61,747.3499755859375,,4.35,2026-05-12
Sigma Advanced System Ltd,SIGMAADV,344.0,354.8999938964844,354.9,295697,-2.79,0.88,-3.67,354.8999938964844,,10.9,2026-05-12
Bajaj Consumer Care Ltd,BAJAJCON,545.55,559.8499755859375,560.3,642094,1.23,1.38,-0.15,559.8499755859375,,14.3,2026-05-12
Multi Commodity Exchange Of India Limited,MCX,3220.5,3256.0,3256.0,1678162,-0.75,-0.41,-0.34,3256.0,,35.5,2026-05-12
Black Box Ltd,BBOX,795.0,795.9500122070312,802.0,979723,2.73,4.17,-1.44,872.5499877929688,,77.55,2026-05-12
Bharat Heavy Electricals Limited,BHEL,404.7,407.2000122070312,408.9,4450404,0.52,1.32,-0.79,407.20001220703125,,2.5,2026-05-12
Tata Steel Limited,TATASTEEL,213.67,214.1499938964844,219.2,6239263,0.09,0.33,-0.24,216.3300018310547,,2.66,2026-05-12
Jaro Institute of Technol. Mgt. and Research Ltd,JARO,471.8,480.0,890.0,1739099,11.28,7.03,4.25,491.45001220703125,412.0,1,1,19.65,59.8,2026-05-13,slot_4
Jindal Drilling And Industries Limited,JINDRILL,626.25,631.0,759.9,7341244,4.39,4.1,0.29,686.1500244140625,586.2999877929688,1,1,59.9,39.95,2026-05-13,slot_4
Suryoday Small Finance Bank Ltd,SURYODAY,187.83,190.7799987792969,190.78,1879943,6.04,2.29,3.74,190.77999877929688,170.13999938964844,1,1,2.95,17.69,2026-05-13,slot_4
Nitin Spinners Limited,NITINSPIN,540.15,544.9500122070312,544.95,805963,3.64,0.96,2.68,544.9500122070312,498.29998779296875,1,1,4.8,41.85,2026-05-13,slot_4
Steel Authority Of India Limited,SAIL,187.35,188.25,190.5,16759182,2.95,1.97,0.98,202.35000610351562,176.30999755859375,1,1,15.0,11.04,2026-05-13,slot_4
Antelopus Selan Energy Ltd,ANTELOPUS,755.3,755.2999877929688,755.55,197949,5.0,0.0,5.0,755.2999877929688,728.0499877929688,0,1,0.0,27.25,2026-05-13,slot_4
Bhagyanagar India,BHAGYANGR,336.6,336.6000061035156,336.6,171751,0.0,0.0,0.0,336.6000061035156,323.45001220703125,1,1,0.0,13.15,2026-05-13,slot_4
Graphite India Limited,GRAPHITE,751.35,754.7999877929688,764.7,790788,2.58,2.32,0.27,755.9000244140625,717.0,1,1,4.55,34.35,2026-05-13,slot_4
GE Power India Ltd,GVPIL,703.0,704.4000244140625,704.4,280168,1.89,6.68,-4.79,704.8499755859375,645.0999755859375,1,1,1.85,57.9,2026-05-13,slot_4
HSBC Gold ETF,HSBCGOLD,136.7,140.0,146.4,424606,4.41,3.71,0.7,140.0,130.5500030517578,1,1,3.3,6.15,2026-05-13,slot_4
Bliss Gvs Pharma Limited,BLISSGVS,283.7,285.0,285.0,1870830,4.29,3.11,1.18,285.0,268.54998779296875,1,1,1.3,15.15,2026-05-13,slot_4
Acutaas Chemicals Ltd,ACUTAAS,2837.6,2849.89990234375,2849.9,152746,0.65,0.49,0.16,2849.89990234375,2743.10009765625,1,1,12.3,94.5,2026-05-13,slot_4
DCX Systems Ltd,DCXINDIA,203.22,204.2899932861328,363.75,434120,1.29,1.19,0.1,206.89999389648438,197.0,1,1,3.68,6.22,2026-05-13,slot_4
Vedanta Limited,VEDL,314.7,316.5,795.0,23531911,1.77,0.91,0.86,325.5,308.79998779296875,1,1,10.8,5.9,2026-05-13,slot_4
Hindalco Industries Limited,HINDALCO,1073.5,1077.599975585938,1080.0,1929112,2.37,2.18,0.18,1082.4000244140625,1047.0,1,1,8.9,26.5,2026-05-13,slot_4
Sumitomo Chemical India Ltd,SUMICHEM,458.5,459.7000122070312,665.0,172394,2.41,2.42,-0.01,467.29998779296875,442.6499938964844,1,1,8.8,15.85,2026-05-13,slot_4
Ptc India Limited,PTC,207.92,209.1900024414062,229.51,534930,0.43,-0.22,0.65,209.25,200.5,1,1,1.33,7.42,2026-05-13,slot_4
Cupid Limited,CUPID,122.92,124.75,133.92,6846862,-0.82,-0.02,-0.8,124.75,120.4800033569336,1,1,1.83,2.44,2026-05-13,slot_4
Nippon Life India Asset Management Ltd,NAM-INDIA,1063.5,1071.699951171875,1117.9,477183,0.6,0.06,0.54,1071.699951171875,1034.199951171875,1,1,8.2,29.3,2026-05-13,slot_4
Adani Enterprises Limited,ADANIENT,2462.6,2465.0,2695.0,435067,1.72,1.57,0.15,2530.0,2401.10009765625,1,1,67.4,61.5,2026-05-13,slot_4
Tata Steel Limited,TATASTEEL,216.76,217.8000030517578,219.2,8403204,1.42,1.32,0.09,220.91000366210938,213.07000732421875,1,1,4.15,3.69,2026-05-13,slot_4
Welspun Corp Limited,WELCORP,1348.8,1350.0,1350.0,181962,1.75,0.82,0.93,1360.0,1315.199951171875,1,1,11.2,33.6,2026-05-13,slot_4
Bharat Wire Ropes Limited,BHARATWIRE,237.69,238.6999969482422,262.0,228700,0.25,2.15,-1.9,248.75999450683594,228.7899932861328,1,1,11.07,8.9,2026-05-13,slot_4
Vardhman Textiles Limited,VTL,626.85,633.6500244140625,647.0,253973,0.37,-0.07,0.44,633.6500244140625,607.0,1,1,6.8,19.85,2026-05-13,slot_4
Jaro Institute of Technol. Mgt. and Research Ltd,JARO,471.8,480.0,890.0,1739099,11.28,7.03,4.25,491.45001220703125,439.04998779296875,1,19.65,1,32.75,2026-05-13,slot_4
Jindal Drilling And Industries Limited,JINDRILL,626.25,631.0,759.9,7341244,4.39,4.1,0.29,686.1500244140625,623.9500122070312,1,59.9,1,2.3,2026-05-13,slot_4
Suryoday Small Finance Bank Ltd,SURYODAY,187.83,190.7799987792969,190.78,1879943,6.04,2.29,3.74,190.77999877929688,173.25999450683594,1,2.95,1,14.57,2026-05-13,slot_4
Nitin Spinners Limited,NITINSPIN,540.15,544.9500122070312,544.95,805963,3.64,0.96,2.68,544.9500122070312,504.1000061035156,1,4.8,1,36.05,2026-05-13,slot_4
Steel Authority Of India Limited,SAIL,187.35,188.25,190.5,16759182,2.95,1.97,0.98,202.35000610351562,176.30999755859375,1,15.0,0,0.0,2026-05-13,slot_4
Antelopus Selan Energy Ltd,ANTELOPUS,755.3,755.2999877929688,755.55,197949,5.0,0.0,5.0,755.2999877929688,751.7000122070312,0,0.0,1,3.6,2026-05-13,slot_4
Bhagyanagar India,BHAGYANGR,336.6,336.6000061035156,336.6,171751,0.0,0.0,0.0,336.6000061035156,330.1000061035156,1,0.0,1,6.5,2026-05-13,slot_4
Graphite India Limited,GRAPHITE,751.35,754.7999877929688,764.7,790788,2.58,2.32,0.27,755.9000244140625,742.3499755859375,1,4.55,1,9.0,2026-05-13,slot_4
GE Power India Ltd,GVPIL,703.0,704.4000244140625,704.4,280168,1.89,6.68,-4.79,704.8499755859375,694.0,1,1.85,1,9.0,2026-05-13,slot_4
HSBC Gold ETF,HSBCGOLD,136.7,140.0,146.4,424606,4.41,3.71,0.7,140.0,135.0,1,3.3,1,1.7,2026-05-13,slot_4
Bliss Gvs Pharma Limited,BLISSGVS,283.7,285.0,285.0,1870830,4.29,3.11,1.18,285.0,272.6000061035156,1,1.3,1,11.1,2026-05-13,slot_4
Acutaas Chemicals Ltd,ACUTAAS,2837.6,2849.89990234375,2849.9,152746,0.65,0.49,0.16,2849.89990234375,2793.10009765625,1,12.3,1,44.5,2026-05-13,slot_4
DCX Systems Ltd,DCXINDIA,203.22,204.2899932861328,363.75,434120,1.29,1.19,0.1,206.89999389648438,200.89999389648438,1,3.68,1,2.32,2026-05-13,slot_4
Vedanta Limited,VEDL,314.7,316.5,795.0,23531911,1.77,0.91,0.86,325.5,314.25,1,10.8,1,0.45,2026-05-13,slot_4
Hindalco Industries Limited,HINDALCO,1073.5,1077.599975585938,1080.0,1929112,2.37,2.18,0.18,1082.4000244140625,1069.800048828125,1,8.9,1,3.7,2026-05-13,slot_4
Sumitomo Chemical India Ltd,SUMICHEM,458.5,459.7000122070312,665.0,172394,2.41,2.42,-0.01,467.29998779296875,453.1499938964844,1,8.8,1,5.35,2026-05-13,slot_4
Ptc India Limited,PTC,207.92,209.1900024414062,229.51,534930,0.43,-0.22,0.65,209.25,206.1199951171875,1,1.33,1,1.8,2026-05-13,slot_4
Cupid Limited,CUPID,122.92,124.75,133.92,6846862,-0.82,-0.02,-0.8,124.75,120.69999694824219,1,1.83,1,2.22,2026-05-13,slot_4
Nippon Life India Asset Management Ltd,NAM-INDIA,1063.5,1071.699951171875,1117.9,477183,0.6,0.06,0.54,1071.699951171875,1050.5,1,8.2,1,13.0,2026-05-13,slot_4
Adani Enterprises Limited,ADANIENT,2462.6,2465.0,2695.0,435067,1.72,1.57,0.15,2530.0,2451.0,1,67.4,1,11.6,2026-05-13,slot_4
Tata Steel Limited,TATASTEEL,216.76,217.8000030517578,219.2,8403204,1.42,1.32,0.09,220.91000366210938,215.89999389648438,1,4.15,1,0.86,2026-05-13,slot_4
Welspun Corp Limited,WELCORP,1348.8,1350.0,1350.0,181962,1.75,0.82,0.93,1360.0,1321.199951171875,1,11.2,1,27.6,2026-05-13,slot_4
Bharat Wire Ropes Limited,BHARATWIRE,237.69,238.6999969482422,262.0,228700,0.25,2.15,-1.9,248.75999450683594,234.5,1,11.07,1,3.19,2026-05-13,slot_4
Vardhman Textiles Limited,VTL,626.85,633.6500244140625,647.0,253973,0.37,-0.07,0.44,633.6500244140625,607.0499877929688,1,6.8,1,19.8,2026-05-13,slot_4
