Stock Name,Ticker,Price,todayHigh,52WeekHigh,Volume,ROC_Today,"ROC (5m, 12p)",Diff of ROC,actual_high,is_high,gain,date
Sasken Communication Technologies Limited,SASKEN,1839.4,1852.300048828125,1852.3,3467536,9.63,1.77,7.87,1959.0,,119.6,2026-05-12
Satin Creditcare Network Limited,SATIN,233.28,245.5399932861328,245.54,21421282,-4.81,-1.61,-3.2,245.5399932861328,,12.26,2026-05-12
Jindal Drilling And Industries Limited,JINDRILL,576.1,602.7000122070312,759.9,12265547,5.77,-0.1,5.86,602.7000122070312,,26.6,2026-05-12
Black Box Ltd,BBOX,834.2,839.7000122070312,839.7,2558908,8.23,1.05,7.18,872.5499877929688,,38.35,2026-05-12
Sterlite Technologies Limited,STLTECH,414.4,414.3999938964844,414.4,10898785,7.01,0.0,7.01,414.3999938964844,,-0.0,2026-05-12
Tata Chemicals Limited,TATACHEM,776.0,793.75,1026.65,1974458,1.03,-0.47,1.5,793.75,,17.75,2026-05-12
Bliss Gvs Pharma Limited,BLISSGVS,277.0,284.5,284.5,2789092,-0.16,0.13,-0.29,284.5,,7.5,2026-05-12
HFCL Ltd,HFCL,150.76,153.5500030517578,153.55,68325925,-1.34,-1.57,0.23,153.5500030517578,,2.79,2026-05-12
Tata Steel Limited,TATASTEEL,213.0,216.3300018310547,219.2,17784786,-0.12,0.07,-0.19,216.3300018310547,,3.33,2026-05-12
Multi Commodity Exchange Of India Limited,MCX,3190.7,3256.0,3256.0,2913143,-1.37,-0.23,-1.13,3256.0,,65.3,2026-05-12
Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE,114.01,114.0299987792969,114.03,9173310,-0.02,-0.01,-0.01,114.02999877929688,,0.02,2026-05-12
